country_name,year,end_year,Region,Average Term Population,Freedom of Expression,Religious Freedom,Conflict,Anti-Elitism Polarization,People-Centrism Polarization,Political Opponents Polarization,Political Pluralism Polarization,Minority Rights Polarization,Rejection of Political Violence Polarization,Immigration Polarization,LGBT Social Equality Polarization,Cultural Superiority Polarization,Religious Principles Polarization,Gender Equality Polarization,Working Women Polarization,Economic Left-Right Scale Polarization,Welfare Polarization,Clientelism Polarization,GDP per Capita,Gini Index
Mexico,2012,2015,Latin America and the Caribbean,119578675.5,0.7825,1.413,0.0,0.661959610218954,0.5104440294178584,0.2216440530760526,0.2079089877221178,0.1389389865584024,0.1752165509142764,0.3004202552392463,0.4387166332334931,0.1015812303112575,0.2958031266014297,0.1207088775346372,0.2388154545650183,0.393664386836963,0.3919031231753643,0.3681905169132668,18516.8254700428,0.750973945
Mexico,2015,2018,Latin America and the Caribbean,124039934.5,0.8037500000000001,1.413,0.0,0.5170290148343333,0.3931546845373063,0.3259248511404163,0.2291018324534425,0.2506951923708686,0.1660539671940743,0.2868940106669694,0.3641334342280187,0.1096634732334757,0.2694271595243155,0.1525334179846538,0.2208129109864062,0.3832703402990566,0.3489353414452126,0.3924383343181475,20146.555251548776,0.7482277975
Mexico,2018,2023,Latin America and the Caribbean,128093081.8,0.7513333333333333,1.413,0.0,0.6510320373141172,0.633894997000769,0.5356952699218493,0.163964649706084,0.4431770468920191,0.1733137878225477,0.2648440763714304,0.3806927338003931,0.144852267027423,0.3378274186819426,0.2234987464130715,0.3206192939400225,0.5092091063788733,0.4374673658021957,0.2378192264353025,21882.067953718713,0.7525681466666668
Moldova,1994,1998,Eastern Europe and Central Asia,2946569.6,0.7007999999999999,0.858,0.0,0.4244265998598325,0.1747808290251536,0.1774648300441197,0.0038674268189637,0.2923472592768936,0.0995820074841884,0.1608073749480763,0.1155253236205858,0.2554503694421586,0.2478358228320227,0.1556600049115149,0.0086338324021028,0.3113459769747947,0.3617847747562839,0.3024241980529148,3075.65744767992,0.51061106
Moldova,1998,2001,Eastern Europe and Central Asia,2926277.25,0.66825,0.78375,0.0,0.4649047196033665,0.0329043981793665,0.2273949099853675,0.1686097337825289,0.8394201627551577,0.1735014527726345,0.2053513340702939,0.2042797769816025,0.1569323936385324,0.0230261625765706,0.1678396856531378,0.0090658358219427,0.4108523615796467,0.3125988996333328,0.1796864627577617,3057.4127996500174,0.506563155
Moldova,2001,2005,Eastern Europe and Central Asia,2902666.8,0.5983999999999999,0.561,0.0,0.380689364553482,0.0262785726379517,0.2249978719631876,0.1581062950256001,0.742744070245056,0.2484390834073571,0.1725538524928433,0.12200825310828,0.1459963542134559,0.2798694800658861,0.1198967938494104,0.0020753167322601,0.3996859738856002,0.3244553683462414,0.1654395268684712,4029.440115323091,0.5071786979999999
Moldova,2005,2009,Eastern Europe and Central Asia,2874789.0,0.6102000000000001,0.5464,0.0,0.5353805442135138,0.0265264741988065,0.278529994417971,0.4030186338937611,0.8440270278239447,0.2907100495563796,0.1726815681303989,0.1244188624825287,0.1012167017669151,0.2776577528446797,0.1170977941412088,0.0104071834699752,0.5218518247400346,0.2723131263152197,0.1906698748228974,5541.484637273215,0.5135463659999999
Moldova,2009,2010,Eastern Europe and Central Asia,2862916.5,0.719,0.775,0.0,0.4024081590981859,0.193590722053994,0.1731688552104704,0.2941494250706525,0.8243678097644265,0.4205449484647991,0.194666548286075,0.1846717925172261,0.1987209796586057,0.2301890412810765,0.1257098832186118,0.0073900401691766,0.4435947066932774,0.346662267651531,0.2178968180596429,6075.12088392302,0.5116368
Moldova,2010,2014,Eastern Europe and Central Asia,2859284.0,0.8001999999999999,1.0802,0.0,0.527869196459987,0.2374257979809197,0.2583056640009697,0.1562120313177923,0.6079043205729099,0.4280317938042717,0.0035943618801708,0.3549282672993239,0.1797035571903647,0.2174907188558308,0.1060833069829099,0.0076653564324943,0.422536678382628,0.3305598099743345,0.2412989595602892,7457.251010686676,0.4986618399999999
Moldova,2014,2019,Eastern Europe and Central Asia,2770332.6666666665,0.7136666666666667,0.9493333333333333,0.0,0.2860708809164481,0.2269601818372728,0.2131230104441878,0.2034977899243363,0.202409300497951,0.1724253923639111,0.2392032681897862,0.3339020670243157,0.2384407510757723,0.2278893186178563,0.1038230045025057,0.1670094015027949,0.4137250691288978,0.338591265640338,0.1508048507852633,10783.342595395325,0.474826586
